name,age,lifestyle,zip_code,family_status,car,sports,earnings,living_area,label
0vi3djGa,44,active,29192,single,practical,badminton,23782,urban,no response
vezuozUc,15,active,37785,married,practical,athletics,134384,urban,no response
SXKTQrUA,37,active,89852,married,practical,badminton,22791,rural,no response
Xe1a2jry,41,cozily,59943,married,practical,badminton,89706,urban,no response
4c248YgZ,25,active,49786,married,practical,soccer,108197,urban,no response
oEO7I2j1,19,cozily,22815,single,expensive,soccer,113172,rural,no response
gcU2eo96,55,cozily,11241,single,expensive,badminton,24556,urban,response
HFVBNUBg,51,healthy,78548,married,practical,athletics,73560,urban,no response
FJ3VrC5N,46,active,63447,single,practical,,54438,urban,no response
tvumFlpk,34,cozily,30851,married,expensive,soccer,21248,urban,no response
ge0HszAB,67,healthy,28377,married,expensive,soccer,122278,rural,response
0yv13aW0,45,healthy,14204,single,expensive,athletics,120564,urban,no response
VzQU9O7M,58,active,16112,married,practical,athletics,116579,urban,response
mBtwfeet,50,cozily,51584,married,practical,,73356,urban,no response
TxlJuG3N,62,healthy,45140,married,expensive,soccer,32046,urban,response
Uf7wsvkL,63,cozily,73509,married,practical,badminton,89427,urban,response
O9Uc6VXs,17,active,73438,single,expensive,soccer,20568,urban,no response
ZtKp2Vk6,27,active,31773,single,practical,badminton,133464,urban,no response
Iu8XAb9D,23,cozily,21516,single,practical,badminton,29328,urban,no response
sYq1xDdW,40,cozily,87871,married,practical,athletics,115755,urban,no response
Dpe0APPc,39,cozily,88294,single,expensive,athletics,128192,urban,no response
tffGYdg1,46,cozily,51068,single,expensive,soccer,22260,urban,no response
KPiKYWNL,33,cozily,46269,married,expensive,athletics,90213,urban,no response
ECQWZa3s,15,healthy,80938,single,expensive,soccer,117963,urban,no response
6jCdRyeg,41,healthy,89723,single,expensive,athletics,57629,rural,no response
DNVSBTm5,25,healthy,82542,married,expensive,soccer,32720,urban,response
7qB5ogXv,69,active,62873,married,expensive,badminton,126764,urban,response
jw56WQw2,59,cozily,36177,single,expensive,badminton,143170,urban,no response
HopPfIF2,30,cozily,47341,single,expensive,soccer,28804,rural,no response
ELaaoRtM,45,active,84414,single,expensive,badminton,99771,rural,no response
2kjE4uT5,58,active,90819,married,practical,athletics,89155,urban,no response
lzy9g3Yo,62,active,92616,single,practical,athletics,68189,urban,response
PsWiQGiC,55,active,15942,married,practical,soccer,139213,urban,no response
OmlFiMeV,54,cozily,64196,single,expensive,athletics,37741,urban,response
VqMiR90Q,39,active,89850,married,practical,soccer,84626,rural,no response
nHQUmwu4,53,cozily,95516,single,practical,,70577,urban,no response
5SPaZ1Yx,67,active,47784,married,practical,,109846,urban,response
TVSmrN9w,54,cozily,64969,married,practical,soccer,111224,urban,no response
F84R246F,67,cozily,19454,single,practical,,85488,urban,response
Vo0qA9by,48,healthy,55345,married,practical,badminton,38466,urban,no response
c9Ua0H1b,32,healthy,29163,single,practical,soccer,120380,rural,no response
30M1xyiB,42,healthy,34004,married,expensive,badminton,49550,urban,no response
3Sc02ThB,17,active,37962,married,practical,soccer,106738,urban,no response
2AKyioX9,48,healthy,10601,married,expensive,soccer,69342,urban,response
N5JDBfbC,16,active,26589,single,practical,soccer,124709,urban,no response
EPwyjP1V,16,healthy,15717,single,practical,badminton,79340,rural,response
NBJVp3ay,53,healthy,32059,married,practical,badminton,97653,urban,no response
qGvAmBAY,20,active,58608,married,practical,badminton,57998,rural,no response
b0mTIJ5N,22,cozily,78208,married,practical,badminton,115604,urban,no response
JoPMwlpl,17,active,27150,single,practical,athletics,101759,urban,no response
0WAGWBx5,41,healthy,62271,single,expensive,badminton,96738,rural,response
zkpnJc4Z,31,healthy,48141,single,expensive,soccer,88970,urban,no response
AIxLoX8q,50,active,58405,married,practical,athletics,128866,urban,no response
cbyMONji,30,cozily,83850,married,practical,,21443,rural,no response
NPwLrdLr,48,cozily,94908,single,expensive,,64212,rural,no response
I99C59Qe,18,cozily,67739,single,practical,athletics,62137,urban,no response
HfubvDW6,36,cozily,70044,married,practical,,106169,urban,no response
WUisdsIp,19,cozily,22946,married,expensive,,113744,rural,no response
XvhI0n9v,21,active,53126,married,practical,,110779,urban,no response
tXYFNI1D,16,healthy,27770,single,practical,badminton,49362,rural,no response
7BYb6S2F,50,active,93255,married,expensive,soccer,59182,rural,no response
YOwuPdbi,45,cozily,25561,single,practical,soccer,135147,urban,no response
JwBZ9QE9,40,healthy,44885,single,practical,athletics,110084,urban,no response
5HEDUwPj,65,active,96417,single,expensive,,28209,rural,response
WJxWcdrH,65,cozily,77840,single,practical,badminton,118589,urban,response
SCYr2hOZ,28,cozily,10951,married,practical,soccer,70868,rural,response
33zSvy6i,45,active,63709,married,expensive,badminton,140213,urban,response
yKFYKnVw,63,healthy,27395,married,expensive,athletics,81734,rural,response
Vmr1WbOk,34,active,86247,married,expensive,,33362,urban,no response
s4w0gmXG,32,healthy,31858,single,practical,badminton,142877,urban,response
WrIOKpz4,47,healthy,15052,single,expensive,badminton,102142,urban,no response
zlyFQfyB,64,healthy,77121,single,expensive,soccer,142480,rural,response
zuh5n0ss,67,cozily,33002,married,practical,,133971,rural,response
MMxQsVFL,25,cozily,16508,married,practical,soccer,141478,urban,response
b4loFSAb,19,active,48231,married,practical,badminton,104682,urban,no response
TOtREhWy,51,cozily,63294,single,expensive,athletics,81016,rural,no response
sB2FjsiM,50,healthy,90677,married,expensive,,59222,rural,no response
JvNzDwZQ,51,cozily,43734,single,expensive,badminton,115300,urban,no response
9Zv8tvjk,19,active,72833,married,practical,soccer,121085,rural,no response
PiACIXzs,22,active,25080,married,practical,athletics,59557,urban,no response
1fLucqMd,33,healthy,93850,married,practical,athletics,77398,rural,no response
lCwm2oyh,22,cozily,67484,married,practical,athletics,56172,rural,no response
qedEus0v,62,cozily,39080,single,expensive,soccer,107745,rural,response
eCWDFRSg,20,active,88231,married,practical,soccer,116479,rural,no response
7L54MIF8,35,active,72018,married,expensive,badminton,94051,urban,no response
3o0ik5O5,61,active,74309,single,expensive,badminton,68668,urban,response
87gWYsKd,39,healthy,35671,married,practical,badminton,43441,urban,no response
c3SZjVPp,66,active,53966,single,expensive,soccer,59582,rural,response
veEoiclR,30,active,74297,married,expensive,badminton,87024,urban,no response
N9aGPnyI,34,active,58388,married,expensive,athletics,28058,rural,no response
bghMsx0l,66,active,96861,married,practical,athletics,63018,rural,response
aQBFc5S1,54,active,52139,single,practical,soccer,91955,urban,no response
59JC25Jr,21,active,12330,single,practical,athletics,79775,rural,response
Tagu9Es6,66,active,26408,single,expensive,badminton,74703,urban,response
TxRzWz9Q,37,cozily,57177,single,practical,athletics,59828,urban,no response
RuXlnWmc,29,cozily,53806,single,expensive,badminton,51024,urban,no response
0JmcsIht,63,active,19677,married,expensive,athletics,133648,rural,response
D1cHZ9UZ,17,healthy,78913,married,expensive,athletics,88651,urban,no response
VAxvLzrp,22,healthy,29165,married,practical,badminton,29156,rural,no response
8yNxKeoL,54,healthy,15493,single,expensive,badminton,60138,urban,no response
twfGZ81U,46,active,20503,single,practical,soccer,51412,urban,no response
cXv7pWCe,25,active,74167,single,practical,athletics,132431,urban,no response
DKBNsAfs,52,cozily,81474,single,practical,,121241,rural,no response
p2gkADXV,31,cozily,44793,single,practical,badminton,61101,urban,no response
PGP46zUQ,41,healthy,15104,single,expensive,soccer,111305,rural,no response
hyQhL7NT,35,cozily,11189,married,practical,soccer,37637,rural,response
x84tu3ZT,27,healthy,53818,married,practical,soccer,136635,urban,no response
5TOSribi,63,active,85704,single,expensive,soccer,137701,urban,response
nU7t7LoZ,54,cozily,45228,married,practical,soccer,44392,urban,no response
4RebFBy6,44,active,53263,married,practical,athletics,93846,urban,no response
Pbk865pN,69,cozily,32454,married,expensive,badminton,133498,urban,response
de1ZsYQZ,56,active,82046,single,practical,soccer,95916,urban,response
JSndqZMz,24,healthy,65643,single,practical,soccer,104084,urban,no response
83bZzXgh,24,healthy,22058,married,expensive,,21418,urban,no response
van07CpI,28,active,20697,single,practical,soccer,118316,urban,no response
Qshx3vHL,42,healthy,60923,married,practical,athletics,102153,urban,no response
kQ7PXYba,19,cozily,10787,married,practical,soccer,65788,urban,no response
FWnTqyBS,57,cozily,10072,married,practical,athletics,133023,rural,no response
JsCgrqpk,52,healthy,51077,married,expensive,soccer,124257,rural,no response
1VuSsZqI,16,healthy,19634,single,expensive,athletics,46363,urban,no response
fEBow4Ox,45,cozily,38370,married,practical,athletics,54944,rural,no response
KZ2nFpvH,43,healthy,73031,single,expensive,badminton,34403,rural,no response
PuVwQfSe,58,active,13505,single,practical,,36347,urban,no response
XmVoZh8y,54,healthy,97246,single,practical,badminton,75000,urban,no response
Itg0hETw,29,cozily,14226,married,practical,athletics,140690,rural,response
Me8k0mAR,48,cozily,90613,married,expensive,athletics,29202,urban,no response
oDS8cl1v,26,healthy,96702,married,expensive,athletics,137371,urban,no response
HZnGX447,42,cozily,86815,married,expensive,,88892,rural,no response
WLMfmuRG,45,cozily,60768,single,practical,athletics,121785,rural,no response
5oDgVStH,58,cozily,56313,married,practical,badminton,146145,rural,response
iVIuAQcd,42,active,28157,single,practical,athletics,58406,urban,no response
EKCTQAJG,28,active,89449,married,practical,athletics,57855,urban,no response
3fR66b2y,33,active,43555,married,practical,,117203,urban,no response
uPOmch9C,60,healthy,18040,married,expensive,soccer,63123,rural,response
DIAkyPYc,59,healthy,20669,married,practical,badminton,42024,rural,response
4n0wwC7r,19,active,46710,married,practical,soccer,116223,urban,no response
rdBdjRyd,59,active,96057,married,expensive,soccer,125964,rural,response
ayHUsHON,55,healthy,25068,married,expensive,athletics,133656,urban,no response
vkJMG2BN,48,cozily,16026,married,expensive,soccer,39668,urban,no response
bA9pLSqA,53,cozily,70411,married,expensive,badminton,89048,rural,no response
UtfSTxqX,65,cozily,34700,married,expensive,athletics,103536,rural,response
j07H2zLl,66,healthy,93479,married,expensive,soccer,75227,rural,response
Q75hX48t,67,healthy,43372,single,practical,badminton,36528,rural,response
X93eGNor,29,healthy,27000,single,practical,soccer,72762,rural,no response
oW0nsooZ,40,active,84549,married,expensive,badminton,137627,rural,no response
Bx5yZEet,26,cozily,64446,single,expensive,,86250,urban,no response
35nlGtyR,63,cozily,57598,married,expensive,athletics,131917,urban,response
FNQ7LRUj,21,cozily,24274,married,expensive,badminton,144750,urban,response
x9OMqZhI,58,cozily,48246,single,practical,badminton,82627,urban,response
NjZ4xLJK,18,healthy,54518,single,practical,athletics,106411,urban,no response
arNXMSmV,27,healthy,69427,married,practical,soccer,137882,rural,no response
ecsgKKhJ,46,cozily,99111,married,practical,soccer,91263,rural,no response
D0VfLtc3,15,healthy,56927,single,expensive,,138168,rural,no response
ttnX55dH,65,active,74534,married,practical,badminton,60909,rural,response
4UT6SPnk,20,healthy,23895,single,practical,soccer,142836,rural,response
4Pkj2Yan,60,healthy,23158,married,practical,soccer,98857,urban,response
rquOwdV0,27,cozily,45667,married,expensive,badminton,54282,rural,no response
d6DqVD70,38,healthy,17526,married,practical,badminton,130005,rural,no response
gPNHHLBZ,25,healthy,74380,married,practical,badminton,56956,rural,no response
0rYo7RWn,62,healthy,26382,married,practical,soccer,87660,urban,response
skZJpUbG,25,healthy,55212,married,expensive,,57183,rural,no response
ujRvaUs6,53,active,85529,single,expensive,,113761,urban,no response
2PsB77uU,61,active,44785,single,expensive,athletics,115134,urban,response
fBP9cDgg,66,cozily,28356,married,expensive,soccer,100080,urban,response
WpaTAdU2,15,active,68161,single,expensive,,110753,urban,no response
lKB9veaf,31,active,29776,married,practical,athletics,117134,urban,no response
sHaF1eiZ,63,cozily,11044,married,expensive,athletics,136467,rural,response
YZ3ypVLP,29,cozily,26323,single,expensive,badminton,28334,rural,no response
9N9eGiRf,30,cozily,94606,single,practical,badminton,103076,rural,no response
1h2hTzJp,45,healthy,46460,single,practical,badminton,120360,urban,no response
KuAPhEmg,31,active,74065,single,expensive,athletics,43951,rural,no response
vVdaLthM,54,cozily,86348,single,expensive,soccer,100139,rural,no response
uRroZH9R,42,healthy,11659,married,practical,athletics,136774,rural,no response
8OpiFvTQ,42,active,52573,single,practical,badminton,29224,urban,no response
OiXtJxeG,65,healthy,76509,single,expensive,soccer,48494,urban,response
d8mpNSTG,48,cozily,74464,married,expensive,badminton,38844,urban,no response
GtZddcyg,59,healthy,16772,single,expensive,soccer,43825,rural,no response
26nHifcb,36,cozily,27416,married,expensive,,60426,urban,no response
cekgVC2t,24,active,60822,single,expensive,athletics,78405,rural,no response
wRGXRn2k,21,active,96598,single,practical,athletics,57643,rural,no response
R2qkdZdg,52,active,81896,married,expensive,athletics,111303,rural,no response
sfzulldH,65,healthy,71152,married,expensive,badminton,21371,urban,response
F3gmmD9G,65,cozily,84051,single,practical,soccer,25777,urban,response
e04XUPEl,48,healthy,25609,married,expensive,soccer,103488,rural,no response
a6swwqTF,18,healthy,37431,single,expensive,soccer,66630,urban,no response
Jfympro2,30,cozily,18723,single,expensive,badminton,50644,urban,no response
0uWJZkZe,24,healthy,99738,single,expensive,badminton,42176,urban,no response
aUrWC4z0,23,active,66159,single,expensive,soccer,68375,urban,no response
5u8gzO7f,52,active,34116,single,expensive,soccer,108235,urban,no response
5tBEwgiJ,46,cozily,77724,single,expensive,soccer,36571,urban,no response
2gGnnxVM,40,cozily,20072,married,practical,athletics,52759,urban,no response
6k1RTHyr,15,active,21350,married,expensive,athletics,55905,urban,no response
Zl3P0SJE,45,active,82765,married,practical,soccer,45130,urban,no response
aHUdVqS5,56,healthy,35821,single,practical,badminton,57649,rural,response
XBmPmLP5,31,active,39815,married,practical,soccer,72360,urban,no response
LwhppdSI,27,cozily,89652,single,expensive,athletics,88415,rural,no response
4t0rVlbx,60,healthy,64020,single,expensive,,137190,urban,response
bISZ8n8Q,16,active,60251,married,practical,badminton,31785,rural,no response
65Qj9IeQ,68,active,92922,single,practical,badminton,138084,rural,response
yYKS0ixd,57,active,65222,single,expensive,athletics,145861,urban,response
NttTuCmY,54,cozily,85009,single,expensive,badminton,126460,rural,no response
YQTySD0A,28,healthy,54186,single,practical,,128789,urban,no response
RlF9wN30,54,cozily,14399,married,practical,badminton,108664,rural,response
1mEuN9gV,25,active,34218,single,practical,soccer,38222,urban,no response
LeB1FjaR,19,healthy,27384,single,expensive,athletics,116597,rural,no response
v38QEbOg,57,healthy,83995,married,expensive,athletics,145909,rural,response
bG5u2m9b,32,healthy,21662,single,practical,athletics,52927,urban,no response
aIi095nc,66,active,81885,married,practical,badminton,140951,urban,response
nKjs0qkW,41,healthy,33912,married,practical,soccer,94250,rural,no response
yEhF03i1,15,cozily,65165,married,expensive,soccer,142878,urban,response
EREyE6hg,30,active,98968,married,practical,badminton,60494,rural,no response
myMhgRvC,41,healthy,90341,single,practical,badminton,89797,rural,no response
agoVpo5H,68,active,82207,married,practical,athletics,115953,urban,no response
jIPXknqX,47,cozily,67386,married,expensive,soccer,39487,rural,no response
IUY8vBaX,65,healthy,98500,single,expensive,soccer,141034,urban,response
oo8mRGvs,42,cozily,32639,single,practical,athletics,82828,rural,no response
0KE59ZY6,32,active,72404,single,practical,athletics,79397,urban,no response
CxntmW6f,29,cozily,67784,single,practical,soccer,85196,urban,no response
TK5xkkOh,21,active,68470,single,expensive,,56203,rural,no response
GcMldSCk,32,cozily,83839,single,practical,soccer,135897,urban,no response
OppBREOb,66,active,56514,single,expensive,athletics,82537,rural,response
l2SSa29A,30,healthy,48551,married,practical,badminton,113029,urban,no response
nCuvRmgx,51,active,51380,single,practical,soccer,43221,rural,no response
zfy4GLWs,34,active,94979,married,practical,athletics,59450,urban,no response
Mf4zRSGv,68,active,31148,single,practical,athletics,130832,urban,response
CoHy8l6e,47,cozily,20804,married,expensive,athletics,135551,urban,no response
Mxzcs7hL,64,healthy,29604,married,practical,badminton,80261,rural,response
uA8XHlEZ,30,active,30621,married,expensive,,64468,urban,no response
LdwhlfcR,46,cozily,11241,married,practical,athletics,53042,urban,response
1f59QOpH,56,cozily,70690,married,expensive,soccer,105677,urban,response
tTjergvM,36,cozily,73565,single,expensive,soccer,149957,rural,response
l3XcS2HG,18,healthy,81975,single,expensive,,47823,urban,no response
o3cl6CoE,43,cozily,84987,single,expensive,badminton,108035,urban,response
Nnm0Ps3A,27,healthy,89297,single,expensive,athletics,133705,urban,no response
Qy9WI11b,19,healthy,51307,married,practical,badminton,25129,urban,no response
Xp5gm9PH,36,healthy,41525,married,expensive,athletics,86737,urban,no response
G2D5AVCw,22,healthy,97909,married,expensive,,65937,rural,no response
2Et9s21Z,35,active,81045,married,practical,athletics,123517,rural,no response
leQw0Ftk,19,healthy,47954,single,practical,athletics,58424,urban,no response
EM8uNgvt,38,cozily,49248,single,expensive,,140767,urban,response
rxb7MSSH,62,healthy,84381,married,practical,athletics,133963,rural,response
frPPZTbE,25,healthy,25084,married,practical,,96143,urban,no response
68zuQx7i,51,active,28448,single,practical,badminton,55430,urban,response
G4Tou01Q,61,cozily,17206,married,expensive,badminton,98864,urban,no response
Dh8s3jfB,15,cozily,89106,single,expensive,soccer,129883,urban,no response
Ru1W4CZ2,52,cozily,78497,single,practical,athletics,77125,urban,response
G4ksthdJ,49,healthy,60792,single,practical,badminton,76988,urban,no response
qrP9W6Lv,30,cozily,30836,married,practical,athletics,99373,rural,no response
HFFNW7Y4,44,cozily,46342,married,expensive,athletics,84071,urban,no response
ys0KRrI5,62,cozily,41823,married,practical,badminton,46613,urban,response
gSpjHnL5,60,cozily,27518,single,expensive,badminton,125250,urban,response
vOLat9H6,37,healthy,80995,single,expensive,soccer,115678,rural,no response
wTDplo7B,49,active,68725,married,expensive,,22701,rural,no response
n802gmBo,52,active,60731,single,practical,badminton,120256,urban,no response
IBCrcOwP,32,healthy,32106,single,practical,soccer,80870,urban,no response
Y2ZZp07N,17,cozily,55525,married,practical,soccer,126188,urban,no response
lbBLBsct,55,active,69277,married,practical,badminton,72923,urban,no response
aazXq1ko,54,cozily,44334,married,practical,badminton,27756,urban,no response
e4CDg2af,49,cozily,15057,married,expensive,athletics,64380,urban,no response
jpx2pgMC,40,healthy,73841,married,expensive,athletics,102016,rural,no response
qMEpsWDi,48,cozily,25311,married,expensive,soccer,76191,urban,no response
aOdGecsU,30,cozily,52838,single,expensive,,73539,urban,response
IpvQgIT4,40,healthy,28133,married,practical,athletics,146693,rural,response
prU2NTU2,44,healthy,58649,married,practical,soccer,116601,urban,no response
kHtGEHNs,33,active,10105,single,expensive,athletics,149519,rural,response
KSjRAJns,21,active,32688,single,expensive,athletics,117917,urban,no response
TTVekRuE,46,active,48993,married,practical,,127319,rural,no response
tYrYDnYd,22,active,27465,single,practical,badminton,147527,urban,response
Rl1Sq3Ol,69,healthy,60626,married,practical,badminton,68247,urban,no response
9QyZFrAH,23,active,82660,married,practical,athletics,132400,urban,no response
Io2yEOA7,63,active,17988,married,practical,soccer,118380,urban,no response
RodycQLJ,25,active,29979,single,practical,badminton,56458,urban,no response
gz1Z0DlL,49,cozily,94718,single,expensive,badminton,114784,urban,response
GWmtAdOh,36,active,11560,single,expensive,badminton,57031,urban,response
rEgsOMp9,47,active,88883,single,practical,badminton,25830,urban,no response
dNhBNakv,56,cozily,96201,single,expensive,badminton,112968,urban,response
Qcv0Ubip,37,healthy,28505,married,practical,badminton,148643,urban,response
pclixitg,44,healthy,55947,married,practical,soccer,84489,rural,no response
S5M7aJlu,20,active,31076,married,expensive,,88859,urban,no response
ZekKjGGL,19,cozily,43703,married,expensive,athletics,43197,urban,no response
fTCEda0l,19,healthy,65160,married,expensive,,110612,urban,no response
yTQXi28e,67,healthy,60185,single,expensive,soccer,41408,rural,response
s1uJALlQ,32,cozily,98888,single,expensive,badminton,26578,urban,no response
s6RRNuRE,26,active,80979,married,practical,soccer,149452,urban,response
Z7ONUEo1,19,healthy,23387,married,expensive,,57736,rural,no response
J111mYMz,61,cozily,91104,single,practical,badminton,72863,rural,no response
8ZZrtxD3,63,cozily,60041,married,expensive,soccer,136819,rural,no response
2Oz4cQ5m,51,active,32674,married,expensive,soccer,21464,urban,no response
H8XpdH24,65,healthy,93463,single,expensive,badminton,116778,rural,response
mFYFMo90,37,cozily,58080,married,expensive,,122721,urban,no response
mfqN18ig,25,active,44699,married,expensive,badminton,92353,urban,no response
GfRe1r7X,30,cozily,98170,married,practical,athletics,83616,urban,no response
9uoOIJPh,66,cozily,64697,single,expensive,badminton,43994,rural,response
3E54qP5z,60,cozily,40272,single,expensive,badminton,128711,urban,no response
9Lqhfd8G,49,healthy,32995,married,practical,athletics,110878,rural,no response
zdHmDhrR,55,healthy,65089,married,practical,athletics,118382,urban,no response
SRJJ2YYM,53,healthy,11544,married,practical,athletics,54475,rural,no response
H4v3KoVL,49,active,98561,single,expensive,,126583,urban,no response
BCZf1PeL,46,active,38312,single,expensive,badminton,33030,urban,no response
MD4wnhIB,23,cozily,48927,single,practical,athletics,30914,urban,no response
MwZqR19u,55,active,49331,single,expensive,badminton,95704,rural,no response
qGKaTFGN,43,active,22243,married,practical,badminton,50078,rural,response
fguoiACf,26,active,66644,married,practical,soccer,102301,urban,no response
23OPOidA,18,cozily,39830,single,practical,badminton,94048,rural,no response
bEGX0RIW,52,cozily,91589,single,practical,,52306,urban,no response
05tbrKOL,23,healthy,99684,married,expensive,,77664,rural,no response
hTvxgVFy,36,active,75491,married,practical,soccer,127566,urban,no response
nZPpdW7s,18,healthy,89403,married,practical,badminton,142263,rural,response
UlVXPxP5,47,healthy,69529,married,practical,athletics,139159,urban,no response
lPipuvWB,59,cozily,16321,single,expensive,soccer,75172,rural,response
f1vDvvPx,46,cozily,25798,single,practical,athletics,110094,urban,response
tvfFivJu,16,cozily,51417,married,practical,soccer,117352,rural,no response
8Qea5cFD,64,active,85359,married,expensive,soccer,38939,rural,response
GJAElTaj,31,active,32499,single,expensive,badminton,95418,rural,no response
PoE2FvIb,33,cozily,70900,married,expensive,soccer,118534,rural,no response
hhiUf4my,38,cozily,93978,married,expensive,badminton,103504,rural,no response
ZKFmX7lZ,56,cozily,23096,married,practical,badminton,60726,urban,no response
wP9ZSVLU,15,cozily,54412,married,practical,athletics,85119,rural,no response
lCWFt43K,32,active,24379,single,expensive,soccer,104818,urban,no response
SRehRIIM,31,active,37773,married,expensive,badminton,70368,urban,no response
dEjdb3dG,53,active,41067,single,practical,soccer,112734,urban,no response
LjbCa9Ww,44,cozily,43709,single,expensive,badminton,49394,urban,no response
cCfEo4tg,49,active,18783,single,expensive,badminton,59322,urban,no response
3Iwwsldo,30,active,10003,married,practical,soccer,44897,rural,response
RvimqZX8,47,healthy,25874,single,practical,badminton,41727,urban,no response
MuQ50Kvc,27,cozily,76479,single,practical,badminton,125720,urban,no response
j2A67LNu,63,cozily,72117,married,practical,athletics,71560,urban,no response
Kh5LVZ4r,60,active,19512,married,expensive,athletics,79672,urban,response
I8ZWNtVy,50,cozily,75679,single,practical,athletics,109573,urban,no response
j2254sRj,61,active,95585,single,practical,,149460,urban,response
WQrGI73l,38,active,31728,married,practical,athletics,94399,rural,no response
TEASlfBI,56,healthy,34031,single,expensive,soccer,92065,urban,response
VSNyf9OJ,48,healthy,96094,married,expensive,soccer,114104,urban,no response
G3z7Kyyb,18,cozily,73221,married,expensive,soccer,126691,rural,no response
FME416zZ,47,healthy,52510,married,practical,,29588,urban,no response
6Kq02uIA,49,healthy,10690,single,practical,soccer,74975,urban,response
k4aM2sCD,40,active,88753,single,expensive,athletics,145707,rural,response
Ua9WUVhr,37,healthy,21341,married,practical,athletics,90289,urban,no response
ImSKjHrp,39,active,53420,single,expensive,badminton,75084,urban,no response
1DE6KGhz,38,healthy,12010,married,practical,badminton,148352,urban,response
6wGaUJXe,66,cozily,37497,single,practical,athletics,31684,urban,no response
smO9KzJI,35,healthy,56051,married,expensive,,112590,rural,no response
Dy3MG5PM,40,active,74620,single,expensive,,69453,urban,no response
2kjdtRrE,33,cozily,26665,married,practical,badminton,123290,urban,no response
U6JUtr0g,57,cozily,79895,married,practical,athletics,89059,rural,no response
unnBUBm7,51,cozily,90913,single,practical,athletics,141685,rural,response
oomo0hXM,35,active,46549,married,practical,badminton,142869,urban,response
Sqr2MyhI,28,active,52723,married,expensive,badminton,27645,urban,no response
IpM4v4QN,64,active,20722,married,expensive,badminton,149443,urban,no response
ADjvNfhx,26,active,62640,married,practical,badminton,62138,rural,no response
fJnXuM8a,24,healthy,81050,married,expensive,badminton,147287,rural,response
F3h0G2gk,27,active,52351,married,expensive,athletics,142901,rural,response
r953H0dt,27,healthy,17660,married,expensive,,32457,rural,no response
AL2DjpjR,67,healthy,86623,married,practical,badminton,125854,urban,response
CSambKa5,19,cozily,46441,single,expensive,badminton,24959,urban,no response
KT3ZtE1Q,29,active,21614,single,expensive,soccer,82600,rural,no response
Vbv5BlW0,43,active,57275,married,expensive,soccer,82787,urban,no response
DZmRgj0m,67,active,79865,single,practical,badminton,94379,urban,response
J1QOAiwN,24,cozily,27597,single,practical,soccer,128930,rural,no response
VXnklofc,60,healthy,15944,married,expensive,badminton,107723,rural,response
SL7ftFWm,64,healthy,74060,single,expensive,athletics,31161,rural,no response
IlSikPmj,66,cozily,82371,married,practical,soccer,66689,urban,response
K3PXnwU3,62,active,86825,single,practical,athletics,68839,rural,response
gdljCeFC,46,cozily,59853,married,expensive,athletics,24696,urban,no response
BRMjK6nf,55,active,62081,married,practical,soccer,64624,rural,no response
PeeXF5m8,38,active,40005,married,expensive,badminton,126501,urban,no response
U3hfTt4x,30,healthy,41489,single,practical,,125092,urban,no response
4G2BGcxM,50,healthy,30569,single,practical,soccer,134716,rural,no response
ZnlfF0MG,38,active,61809,married,expensive,athletics,94520,rural,no response
CwpUkfFx,26,cozily,19773,married,expensive,badminton,48327,rural,no response
McSIsCax,59,healthy,75805,married,practical,badminton,106330,rural,no response
AXsTsE4u,34,cozily,55500,married,practical,athletics,25510,urban,no response
mMEYZQyI,34,active,91899,single,practical,,98780,rural,no response
V6q2kYg6,60,active,59074,single,practical,soccer,94994,rural,response
bjUtqCX6,18,active,92816,single,practical,athletics,143719,urban,response
E08yrWtz,34,healthy,41515,married,expensive,athletics,42071,rural,no response
dZQvMSIc,67,cozily,21531,single,practical,badminton,56497,rural,response
FU8P2NPx,44,active,91314,single,expensive,soccer,110664,rural,no response
REl7iUXk,44,cozily,57226,single,expensive,,148718,urban,response
dBYcjtJY,50,healthy,13912,married,practical,badminton,100818,urban,response
DP8wJ5sA,63,healthy,95570,married,expensive,soccer,144659,rural,response
2D2UXVYg,56,active,89484,single,practical,,63737,rural,no response
BmsrWtvq,68,active,75574,single,expensive,soccer,115120,rural,response
A6WupYrB,29,active,81178,single,expensive,,57026,urban,no response
QDzr6G07,57,active,46584,single,practical,,25989,urban,no response
gWBoGeQ3,59,healthy,97622,married,practical,athletics,24881,urban,response
fNlX5Ppx,61,cozily,25504,single,practical,soccer,38322,urban,response
tvCBWiFH,53,healthy,68663,single,practical,soccer,130620,urban,no response
PzzroG7L,53,healthy,29816,single,practical,badminton,145826,urban,response
7rduUir3,67,cozily,48559,married,practical,badminton,82964,urban,response
s6DwFGIA,41,active,86331,single,expensive,,118676,rural,no response
XfWMCtb0,24,active,90773,single,expensive,badminton,62528,urban,no response
CTEcB0xT,36,active,10107,married,expensive,soccer,85037,urban,response
5Xvzf00o,25,cozily,36103,married,expensive,badminton,112439,rural,no response
yfkgvW55,58,cozily,26238,single,practical,soccer,24208,rural,response
E6vrxtCA,38,healthy,78152,single,expensive,badminton,108255,rural,no response
v8VAiQD4,15,healthy,98612,married,expensive,athletics,53032,urban,no response
UJAL5pQz,35,cozily,33117,married,practical,,54156,rural,no response
GShMDFWl,41,active,20581,single,practical,athletics,55107,urban,no response
PpF2CvGF,51,active,41818,married,practical,athletics,107864,urban,no response
kDK4FIZz,27,active,54859,married,expensive,soccer,81240,urban,no response
